Area,Listing_Type,Parking,Furnished,Bedrooms,Bathrooms,Size_Sqft,Price,Price_Type
Kompally,Sale,Yes,No,3,2,1403,9864199,Sale_Price_INR
ECIL,Rent,Yes,No,2,2,1087,13148,Monthly_Rent_INR
ECIL,Rent,Yes,No,3,2,1345,16496,Monthly_Rent_INR
Alwal,Rent,Yes,No,2,1,1071,13921,Monthly_Rent_INR
Ameerpet,Sale,Yes,No,2,2,1199,7727952,Sale_Price_INR
Alwal,Rent,No,No,2,2,834,9027,Monthly_Rent_INR
Alwal,Sale,No,No,2,2,1326,8201878,Sale_Price_INR
Kompally,Rent,Yes,No,3,2,1243,20081,Monthly_Rent_INR
Bowenpally,Sale,No,No,2,1,1079,8631459,Sale_Price_INR
Madhapur,Sale,No,No,2,1,1168,11753664,Sale_Price_INR
Bowenpally,Rent,Yes,No,2,1,1012,13769,Monthly_Rent_INR
Hitech City,Sale,No,No,2,1,1245,12523803,Sale_Price_INR
Alwal,Rent,Yes,No,2,2,1087,13212,Monthly_Rent_INR
Sainikpuri,Rent,Yes,Yes,2,2,930,8004,Monthly_Rent_INR
Sainikpuri,Sale,Yes,No,2,1,904,5871251,Sale_Price_INR
Bowenpally,Sale,Yes,Yes,2,2,1028,7339817,Sale_Price_INR
Gachibowli,Sale,Yes,No,1,1,637,8253663,Sale_Price_INR
Bowenpally,Sale,Yes,No,2,2,1085,8282848,Sale_Price_INR
ECIL,Rent,No,No,2,2,1156,13593,Monthly_Rent_INR
Kukatpally,Sale,Yes,Yes,2,2,913,5524453,Sale_Price_INR
Kompally,Sale,Yes,Yes,2,2,977,7683898,Sale_Price_INR
Madhapur,Sale,Yes,Yes,2,2,1011,11502943,Sale_Price_INR
Kukatpally,Rent,Yes,No,3,3,1384,28300,Monthly_Rent_INR
Kompally,Rent,Yes,No,1,1,693,12304,Monthly_Rent_INR
Gachibowli,Rent,Yes,No,2,2,1076,44486,Monthly_Rent_INR
Gachibowli,Rent,Yes,No,2,2,962,33846,Monthly_Rent_INR
Madhapur,Sale,Yes,No,1,1,462,5497550,Sale_Price_INR
Sainikpuri,Rent,Yes,No,3,2,1321,14126,Monthly_Rent_INR
Sainikpuri,Rent,No,Yes,2,2,1076,10672,Monthly_Rent_INR
Sainikpuri,Sale,No,No,2,1,1150,6984756,Sale_Price_INR
Kukatpally,Sale,Yes,Yes,2,2,1030,5904617,Sale_Price_INR
Madhapur,Sale,Yes,No,4,4,2063,22520387,Sale_Price_INR
